origin/feat/reponomics-demo-2026-04-27 | merged to main (ancestor) | docs: REPONOMICS-API.md ΓÇö endpoint reference + Sean-signature recipe
origin/feat/cc-2026-05-16-phase2-8-wire-swarm-hal | merged to main (ancestor) | Phase 2.8: bypass SQL-keyword sanitizer for /api/v1/substance-gate/events
origin/feat/cc-2026-05-16-phase2-9-1-pcp-validator-schema-fix | merged to main (ancestor) | Phase 2.9.1: fix pcp-validator schema drift (name -> agent_name, drop metadata)
origin/feat/cc-2026-05-16-phase2-9-2-worker-stall | merged to main (ancestor) | Phase 2.9.2: fix validation_queue claim violating processed_check constraint
origin/feat/cc-2026-05-16-phase2-9-4-hal-audit-rpc-signature | merged to main (ancestor) | Phase 2.9.4: fix append_hal_audit_chain RPC signature (gate + non-HITL worker)
origin/feat/gemini-2026-05-17-phase2-11-storage-audit-dispute | merged to main (ancestor) | Phase 2.11: storage + reputation audit handlers + dispute resolution worker
origin/feat/gemini-2026-05-16-phase2-9-a2a-foundation-typescript | merged to main (ancestor) | Phase 2.9: a2a foundation TypeScript implementation (delta functions, routes, sanitizer bypasses, worker mods)
origin/hygiene/pcp-validator-tests | merged to main (ancestor) | Hygiene: export selectWeightedValidators and add unit tests for pcp-validator
origin/hygiene/validation-fixes | merged to main (ancestor) | Hygiene: fix mapResolutionToOutcome typo and add missing agent logs in applyValidationDeltas
origin/feat/cc-2026-05-16-phase2-10-three-services | merged to main (ancestor) | Phase 2.10: three production service handlers (verification, cross-validation, anfis-routing)
origin/feat/gemini-2026-05-17-checktimeouts-health | merged to main (ancestor) | feat(worker): harden checkTimeouts against NULL processed_at and add detailed /health surface
origin/feat/gemini-2026-05-18-phase-2-11-migration-relocate | merged to main (ancestor) | fix(migrations): relocate phase 2.11 SQL files from root migrations/ to supabase/migrations/ with 14-digit timestamps
origin/feat/gemini-2026-05-18-rpc-validation-queue | merged to main (ancestor) | feat(observability): create get_validation_queue_status_24h RPC
origin/feat/gemini-2026-05-18-mvp-cascade-harness | merged to main (ancestor) | feat(harness): MVP cascade verification SQL script
origin/feat/cc-2026-05-18-defect-3-fix | merged to main (ancestor) | feat(observability): provider_health per judge rotation attempt
origin/feat/gemini-2026-05-18-defect-4-fix | merged to main (ancestor) | fix(hal): correct typescript compilation error for undefined validatorBeliefs
origin/feat/cc-2026-05-20-mvp-delivery | merged to main (ancestor) | feat(erc8004): wire FeedbackLoopWorker.start() + drain-mode rate-limit + AbortSignal + circuit breaker (Phase 8)
origin/feat/cc-2026-05-21-postgrest-bypass-repid | merged to main (ancestor) | feat(boot): direct-pg pgPing diagnostic in API + proof-drain worker
origin/feat/cc-2026-05-21-erc8004-key-sanitize | merged to main (ancestor) | fix(erc8004): sanitize and validate private key with loud-on-bad-input behavior
origin/feat/gemini-2026-05-22-handler-registry-completion | merged to main (ancestor) | feat(handlers): register reputation_audit + decentralized_storage handlers
origin/feat/cc-2026-05-22-pipeline-restoration | merged to main (ancestor) | feat(cascade): server-side escrowed->fulfilled settlement worker
origin/feat/cc-2026-05-22-x402-wiring | merged to main (ancestor) | fix(x402): RULE-11 error check on post-settlement repid_events insert
origin/feat/gemini-2026-05-22-agent-registry-hygiene | merged to main (ancestor) | feat(agent-registry): soft-retire RAVEN & test agents, add name validation utility and tests
origin/feat/cc-2026-05-22-defensive-filters-and-testing | merged to main (ancestor) | feat(testing): 4 MVP scenarios + run-all CLI
origin/feat/cc-2026-05-22-onchain-write-selffeedback-guard | merged to main (ancestor) | fix(erc8004): pre-flight self-feedback guard in first-onchain-write script
origin/feat/gemini-2026-05-22-jtbd-social-flywheel | merged to main (ancestor) | feat(bridge): wire SERVICE_FULFILLED to ERC-8004 attestation via service_fulfilled_settled event
origin/feat/cc2-2026-05-22-fseries-patch | merged to main (ancestor) | fix(security): normalize is_simulated gate (case/type/nested) ΓÇö F-series patch
origin/feat/cc2-2026-05-22-hal-enrichment | merged to main (ancestor) | feat(hal): add HAL_STRICTNESS env (1|2) with provider fallback to s1 on error
origin/feat/cc2-2026-05-23-hal-truth-signal | merged to main (ancestor) | feat(hal): HalService + REST endpoint + Trust* product profiles
origin/feat/gemini-2026-05-23-x402-real-implementation | merged to main (ancestor) | feat(x402): implement server-side payment enforcement and verification
origin/feat/gemini-2026-05-23-x402-cleanup-batch | merged to main (ancestor) | fix(x402): domain fix + P5 double-fulfill + CC2 handoff integration
origin/feat/cc1-2026-05-23-hal-provider-failure-hardening | merged to main (ancestor) | sim(hal): provider-failure simulation over CC2 calibration corpus (full/partial/low quorum, pre vs post gate)
origin/feat/cc2-2026-05-23-repid-inflation-cb | merged to main (ancestor) | docs(security): mark Patch B applied (zero-demotion floor + is_human exclusion); Patch C z=2.5
origin/feat/gemini-2026-05-23-x402-facilitator-format-fix | merged to main (ancestor) | feat: Update x402-facilitator to send standard x402 envelope to x402.org
origin/feat/gemini-2026-05-23-x402-facilitator-format-fix-r2 | merged to main (ancestor) | feat: wrap x402 requests in paymentPayload and inject name and version into paymentRequirements extra
origin/feat/gemini-2026-05-23-hal-endpoint-mount | merged to main (ancestor) | feat: import and mount halEvaluateRouter at /api/v1/hal and add to SQL sanitizer bypass
origin/feat/gemini-2026-05-24-security-audit-mainnet-observability | merged to main (ancestor) | test(security): update auth-gating tests to expect 401 for /prove-repid without auth
origin/feat/cc1-2026-05-24-mainnet-readiness-telemetry | merged to main (ancestor) | test(regression): V1 critical-path coverage
origin/feat/gemini-2026-05-25-v1-launch-readiness | merged to main (ancestor) | test(integration): fix race condition in smoke-zkp test by allowing completed status
origin/feat/gemini-2026-05-25-v1.5-redis-zk | merged to main (ancestor) | fix(v1.5): add missing erc8004_token_id to RepIdAttestation interface
